subject,trial,stimword,stimcolor,respcolor,reaction_time
156875,59,G,G,G,1504
156875,60,R,R,R,1592
156875,61,G,G,G,1400
156875,62,R,R,R,1096
156875,63,G,G,G,1016
156875,64,Y,Y,Y,1120
156875,65,R,R,R,2032
156875,66,Y,Y,Y,1072
156875,67,B,B,B,1136
156875,68,R,R,R,1008
156875,69,Y,Y,Y,976
156875,70,B,B,B,992
156875,71,Y,Y,Y,1048
156875,72,G,G,G,1040
156875,73,R,R,R,1080
156875,74,G,G,G,1024
156875,75,B,B,B,1144
156875,76,R,R,R,952
156875,77,G,G,G,1008
156875,78,B,B,B,1264
156875,79,Y,Y,Y,1000
156875,80,B,B,B,968
156875,81,Y,Y,Y,1000
156875,82,R,R,R,1192
156875,83,Y,Y,Y,944
156875,84,B,B,B,936
156875,85,Y,Y,Y,896
156875,86,G,G,G,936
156875,87,Y,Y,Y,944
156875,88,R,R,R,984
156875,89,G,G,G,1096
156875,90,R,R,R,984
